seq_num,folder,frame_num,crop_index,arrival_timestamp,interarrival_delay
39600,MVI_20063,39,0,1782347578.1952538,0.0
39601,MVI_20062,21,0,1782347578.2357876,0.04053378105163574
39602,MVI_20064,27,7,1782347578.2756038,0.03981614112854004
39603,MVI_20065,34,0,1782347578.315861,0.04025721549987793
39604,MVI_20065,46,1,1782347578.355642,0.03978109359741211
39605,MVI_20065,3,2,1782347578.3956957,0.040053606033325195
39606,MVI_20062,5,7,1782347578.4359639,0.0402681827545166
39607,MVI_20064,36,8,1782347578.4754622,0.039498329162597656
39608,MVI_20064,39,7,1782347578.5154045,0.039942264556884766
39609,MVI_20064,13,0,1782347578.5555182,0.04011368751525879
39610,MVI_20064,42,2,1782347578.5956597,0.04014158248901367
39611,MVI_20065,43,3,1782347578.6361892,0.040529489517211914
39612,MVI_20065,16,3,1782347578.6754916,0.03930234909057617
39613,MVI_20062,15,7,1782347578.7154255,0.03993391990661621
39614,MVI_20064,42,1,1782347578.7557082,0.0402827262878418
39615,MVI_20064,33,0,1782347578.7954938,0.03978562355041504
39616,MVI_20064,21,9,1782347578.8356748,0.04018092155456543
39617,MVI_20062,32,6,1782347578.8755827,0.03990793228149414
39618,MVI_20064,3,2,1782347578.9160337,0.0404510498046875
39619,MVI_20064,23,12,1782347578.9559631,0.03992938995361328
39620,MVI_20064,33,6,1782347578.9957,0.03973674774169922
39621,MVI_20065,39,2,1782347579.0356364,0.03993654251098633
39622,MVI_20064,6,11,1782347579.0754087,0.03977227210998535
39623,MVI_20062,10,0,1782347579.1157773,0.04036855697631836
39624,MVI_20065,49,6,1782347579.155879,0.04010176658630371
39625,MVI_20064,45,2,1782347579.1958086,0.03992962837219238
39626,MVI_20062,7,8,1782347579.2358134,0.040004730224609375
39627,MVI_20064,35,1,1782347579.2757146,0.0399012565612793
39628,MVI_20064,23,8,1782347579.3162422,0.0405275821685791
39629,MVI_20064,24,5,1782347579.3560328,0.03979063034057617
39630,MVI_20065,31,2,1782347579.3956633,0.03963041305541992
39631,MVI_20062,34,6,1782347579.4361222,0.04045891761779785
39632,MVI_20065,10,5,1782347579.4758492,0.039726972579956055
39633,MVI_20065,33,4,1782347579.5161123,0.04026317596435547
39634,MVI_20065,35,5,1782347579.5552747,0.039162397384643555
39635,MVI_20063,44,2,1782347579.5958772,0.04060244560241699
39636,MVI_20064,16,7,1782347579.635558,0.03968071937561035
39637,MVI_20062,4,1,1782347579.6755157,0.03995776176452637
39638,MVI_20065,38,1,1782347579.716209,0.04069328308105469
39639,MVI_20064,43,0,1782347579.7556267,0.03941774368286133
39640,MVI_20064,11,6,1782347579.7955546,0.03992795944213867
39641,MVI_20065,4,0,1782347579.8352947,0.03974008560180664
39642,MVI_20064,27,11,1782347579.8758104,0.04051566123962402
39643,MVI_20062,2,0,1782347579.9162002,0.0403897762298584
39644,MVI_20062,49,1,1782347579.9556146,0.039414405822753906
39645,MVI_20065,37,0,1782347579.9959998,0.04038524627685547
39646,MVI_20064,8,6,1782347580.0358868,0.0398869514465332
39647,MVI_20063,7,0,1782347580.0757024,0.039815664291381836
39648,MVI_20065,40,7,1782347580.1161063,0.04040384292602539
39649,MVI_20065,46,2,1782347580.1559055,0.03979921340942383
39650,MVI_20064,14,10,1782347580.1954713,0.0395658016204834
39651,MVI_20064,34,6,1782347580.2360077,0.04053640365600586
39652,MVI_20064,43,13,1782347580.2760446,0.040036916732788086
39653,MVI_20064,29,6,1782347580.31564,0.03959536552429199
39654,MVI_20064,7,12,1782347580.3559008,0.04026079177856445
39655,MVI_20065,3,3,1782347580.3954387,0.039537906646728516
39656,MVI_20062,4,9,1782347580.4359138,0.04047513008117676
39657,MVI_20064,21,7,1782347580.4754357,0.03952193260192871
39658,MVI_20062,37,6,1782347580.5156658,0.04023003578186035
39659,MVI_20064,2,0,1782347580.5552526,0.039586782455444336
39660,MVI_20065,8,2,1782347580.5957024,0.04044985771179199
39661,MVI_20063,39,1,1782347580.6354895,0.03978705406188965
39662,MVI_20064,17,7,1782347580.6756275,0.04013800621032715
39663,MVI_20062,32,5,1782347580.716427,0.040799617767333984
39664,MVI_20064,38,7,1782347580.755237,0.038810014724731445
39665,MVI_20062,48,7,1782347580.7956393,0.04040217399597168
39666,MVI_20064,20,12,1782347580.8356063,0.03996706008911133
39667,MVI_20062,25,4,1782347580.8754926,0.0398862361907959
39668,MVI_20062,12,9,1782347580.915453,0.039960384368896484
39669,MVI_20062,15,8,1782347580.9552276,0.03977465629577637
39670,MVI_20062,25,2,1782347580.9953108,0.04008316993713379
39671,MVI_20063,35,0,1782347581.0359802,0.04066944122314453
39672,MVI_20062,11,2,1782347581.075662,0.03968167304992676
39673,MVI_20065,6,3,1782347581.1156497,0.039987802505493164
39674,MVI_20062,4,4,1782347581.1552854,0.039635658264160156
39675,MVI_20064,39,10,1782347581.1952696,0.03998422622680664
39676,MVI_20062,43,7,1782347581.236334,0.04106450080871582
39677,MVI_20064,40,1,1782347581.2754984,0.03916430473327637
39678,MVI_20064,18,9,1782347581.3155973,0.04009890556335449
39679,MVI_20064,20,3,1782347581.355272,0.03967475891113281
39680,MVI_20062,35,5,1782347581.3955698,0.040297746658325195
39681,MVI_20064,3,4,1782347581.4358056,0.04023575782775879
39682,MVI_20062,5,4,1782347581.4753003,0.03949475288391113
39683,MVI_20064,4,8,1782347581.515792,0.040491580963134766
39684,MVI_20064,47,12,1782347581.555511,0.0397191047668457
39685,MVI_20064,31,5,1782347581.5956924,0.04018139839172363
39686,MVI_20064,6,13,1782347581.6358564,0.04016399383544922
39687,MVI_20064,41,3,1782347581.6756735,0.039817094802856445
39688,MVI_20064,48,3,1782347581.7159452,0.040271759033203125
39689,MVI_20064,16,11,1782347581.7563355,0.0403902530670166
39690,MVI_20064,6,12,1782347581.795669,0.03933358192443848
39691,MVI_20063,21,2,1782347581.8357954,0.04012632369995117
39692,MVI_20065,2,6,1782347581.8758545,0.04005908966064453
39693,MVI_20062,33,4,1782347581.9159348,0.04008030891418457
39694,MVI_20064,37,7,1782347581.9555068,0.03957200050354004
39695,MVI_20062,8,5,1782347581.9955595,0.04005265235900879
39696,MVI_20064,40,3,1782347582.035933,0.04037356376647949
39697,MVI_20064,37,4,1782347582.0763628,0.04042983055114746
39698,MVI_20064,25,0,1782347582.1156418,0.03927898406982422
39699,MVI_20065,14,3,1782347582.155706,0.040064096450805664
39700,MVI_20062,18,8,1782347582.1956165,0.03991055488586426
39701,MVI_20062,7,3,1782347582.2355745,0.03995800018310547
39702,MVI_20062,28,7,1782347582.2760115,0.04043698310852051
39703,MVI_20064,38,10,1782347582.3153498,0.03933835029602051
39704,MVI_20062,36,2,1782347582.355506,0.04015612602233887
39705,MVI_20062,18,1,1782347582.3959064,0.04040050506591797
39706,MVI_20064,24,7,1782347582.4355125,0.03960609436035156
39707,MVI_20064,25,12,1782347582.4760215,0.04050898551940918
39708,MVI_20062,35,1,1782347582.5159035,0.03988194465637207
39709,MVI_20064,3,0,1782347582.5562294,0.04032588005065918
39710,MVI_20062,6,0,1782347582.5959082,0.03967881202697754
39711,MVI_20064,7,7,1782347582.635581,0.0396728515625
39712,MVI_20062,28,3,1782347582.6764183,0.04083728790283203
39713,MVI_20064,29,7,1782347582.715716,0.03929758071899414
39714,MVI_20065,49,7,1782347582.7559557,0.040239810943603516
