round,seq_num,folder,frame_num,crop_index,label,send_timestamp
0,0,MVI_39761,39,1,0,1782345520.9975321
0,1,MVI_39761,27,2,0,1782345521.0378156
0,2,MVI_39771,38,6,0,1782345521.077779
0,3,MVI_39781,5,0,0,1782345521.1179492
0,4,MVI_39761,49,4,0,1782345521.1579797
0,5,MVI_39781,17,0,0,1782345521.197814
0,6,MVI_39771,29,1,0,1782345521.2383933
0,7,MVI_39771,22,4,2,1782345521.278329
0,8,MVI_39761,1,5,0,1782345521.3179343
0,9,MVI_39781,25,2,0,1782345521.357786
0,10,MVI_39761,28,3,0,1782345521.3979175
0,11,MVI_39771,34,6,0,1782345521.4378784
0,12,MVI_39771,6,4,0,1782345521.478512
0,13,MVI_39771,42,3,0,1782345521.5179138
0,14,MVI_39771,47,3,2,1782345521.557938
0,15,MVI_39771,7,3,0,1782345521.5981288
0,16,MVI_39771,2,2,0,1782345521.637974
0,17,MVI_39761,28,2,0,1782345521.6777337
0,18,MVI_39761,43,0,0,1782345521.717764
0,19,MVI_39761,35,0,0,1782345521.7577977
0,20,MVI_39761,45,5,0,1782345521.7977154
0,21,MVI_39761,44,2,0,1782345521.837826
0,22,MVI_39761,21,3,0,1782345521.8778195
0,23,MVI_39771,33,4,2,1782345521.9177885
0,24,MVI_39761,22,3,0,1782345521.9576428
0,25,MVI_39761,11,3,0,1782345521.997788
0,26,MVI_39781,44,1,0,1782345522.0377903
0,27,MVI_39771,28,6,0,1782345522.0776837
0,28,MVI_39771,36,2,0,1782345522.1177998
0,29,MVI_39771,10,0,0,1782345522.1577868
0,30,MVI_39781,19,0,0,1782345522.197964
0,31,MVI_39781,1,2,0,1782345522.2377617
0,32,MVI_39771,43,6,0,1782345522.2777433
0,33,MVI_39761,34,3,0,1782345522.317824
0,34,MVI_39771,23,5,0,1782345522.357684
0,35,MVI_39771,37,1,0,1782345522.3978944
0,36,MVI_39761,19,3,0,1782345522.437862
0,37,MVI_39771,8,3,0,1782345522.4777067
0,38,MVI_39781,12,1,0,1782345522.5178444
0,39,MVI_39781,3,2,0,1782345522.5577893
0,40,MVI_39761,21,1,0,1782345522.597998
0,41,MVI_39781,35,1,0,1782345522.6380389
0,42,MVI_39771,7,1,0,1782345522.677954
0,43,MVI_39781,50,0,0,1782345522.7178438
0,44,MVI_39761,1,3,0,1782345522.758231
0,45,MVI_39761,28,0,0,1782345522.7978642
0,46,MVI_39761,24,4,0,1782345522.838445
0,47,MVI_39761,11,0,0,1782345522.8777235
0,48,MVI_39771,11,2,0,1782345522.917706
0,49,MVI_39781,5,2,0,1782345522.9584577
0,50,MVI_39761,48,3,0,1782345522.9980178
0,51,MVI_39781,15,0,0,1782345523.038018
0,52,MVI_39781,34,0,0,1782345523.0777903
0,53,MVI_39761,26,3,0,1782345523.1178346
0,54,MVI_39771,4,0,0,1782345523.157871
0,55,MVI_39771,38,2,0,1782345523.1978009
0,56,MVI_39781,36,0,0,1782345523.2377985
0,57,MVI_39781,35,0,0,1782345523.277781
0,58,MVI_39761,2,0,0,1782345523.3178358
0,59,MVI_39761,45,3,0,1782345523.3577514
0,60,MVI_39781,37,1,0,1782345523.3978236
0,61,MVI_39761,39,4,0,1782345523.4378018
0,62,MVI_39781,13,1,0,1782345523.4777899
0,63,MVI_39771,21,6,0,1782345523.5180566
0,64,MVI_39761,46,6,0,1782345523.557812
0,65,MVI_39771,21,7,0,1782345523.5978215
0,66,MVI_39771,17,2,0,1782345523.6377807
0,67,MVI_39761,3,1,0,1782345523.6778014
0,68,MVI_39771,34,5,0,1782345523.7178748
0,69,MVI_39761,41,4,0,1782345523.7577887
0,70,MVI_39781,26,1,0,1782345523.797825
0,71,MVI_39761,10,5,0,1782345523.8378522
0,72,MVI_39761,6,2,0,1782345523.8778417
0,73,MVI_39771,31,4,2,1782345523.9178612
0,74,MVI_39761,43,1,0,1782345523.9577816
0,75,MVI_39771,13,1,0,1782345523.9978302
0,76,MVI_39771,50,5,0,1782345524.0378768
0,77,MVI_39771,32,4,2,1782345524.0779588
0,78,MVI_39761,46,4,0,1782345524.1184402
0,79,MVI_39761,42,0,0,1782345524.1583111
0,80,MVI_39771,44,6,0,1782345524.1980822
0,81,MVI_39761,46,3,0,1782345524.2378173
0,82,MVI_39771,12,0,0,1782345524.2783554
0,83,MVI_39761,3,3,0,1782345524.3179035
0,84,MVI_39761,48,1,0,1782345524.3577535
0,85,MVI_39771,30,1,0,1782345524.3982322
0,86,MVI_39771,12,3,0,1782345524.4382927
0,87,MVI_39771,13,4,0,1782345524.4781911
0,88,MVI_39771,25,1,0,1782345524.5179083
0,89,MVI_39771,7,5,2,1782345524.558444
0,90,MVI_39771,44,4,2,1782345524.5983963
0,91,MVI_39771,15,1,0,1782345524.6380823
0,92,MVI_39771,37,0,0,1782345524.678348
0,93,MVI_39771,29,5,0,1782345524.7179506
0,94,MVI_39771,26,3,0,1782345524.758233
0,95,MVI_39761,30,2,0,1782345524.798172
0,96,MVI_39761,24,0,0,1782345524.838336
0,97,MVI_39771,41,2,0,1782345524.8782303
0,98,MVI_39771,28,5,0,1782345524.9181821
0,99,MVI_39761,26,4,0,1782345524.9581816
0,100,MVI_39771,34,3,0,1782345524.9982119
