round,seq_num,folder,frame_num,crop_index,label,send_timestamp
0,0,MVI_20061,27,11,0,1782345521.0094352
0,1,MVI_20052,12,6,0,1782345521.049827
0,2,MVI_20052,44,1,0,1782345521.0896292
0,3,MVI_20035,30,4,1,1782345521.1296217
0,4,MVI_20011,33,6,0,1782345521.1694677
0,5,MVI_20052,34,12,0,1782345521.2097285
0,6,MVI_20061,37,2,1,1782345521.2498837
0,7,MVI_20052,34,4,0,1782345521.2898386
0,8,MVI_20034,2,3,0,1782345521.3297715
0,9,MVI_20035,42,4,0,1782345521.3695467
0,10,MVI_20034,10,1,0,1782345521.4098177
0,11,MVI_20034,8,2,0,1782345521.44975
0,12,MVI_20011,6,5,0,1782345521.4900098
0,13,MVI_20034,49,2,0,1782345521.5295837
0,14,MVI_20061,32,9,0,1782345521.5698235
0,15,MVI_20052,16,12,0,1782345521.6097927
0,16,MVI_20011,36,1,0,1782345521.6495993
0,17,MVI_20035,27,3,0,1782345521.6895869
0,18,MVI_20035,4,6,0,1782345521.7295794
0,19,MVI_20061,12,12,0,1782345521.76959
0,20,MVI_20061,16,1,0,1782345521.809449
0,21,MVI_20051,23,5,0,1782345521.849631
0,22,MVI_20061,41,6,0,1782345521.889615
0,23,MVI_20052,15,0,0,1782345521.9298096
0,24,MVI_20011,49,3,0,1782345521.9695833
0,25,MVI_20051,29,3,0,1782345522.0096192
0,26,MVI_20035,27,10,0,1782345522.049628
0,27,MVI_20034,13,4,2,1782345522.089588
0,28,MVI_20061,28,8,0,1782345522.1296206
0,29,MVI_20061,22,2,1,1782345522.1696
0,30,MVI_20052,3,1,0,1782345522.2096167
0,31,MVI_20061,45,4,1,1782345522.2497668
0,32,MVI_20011,49,5,0,1782345522.2895129
0,33,MVI_20061,24,13,1,1782345522.3296354
0,34,MVI_20034,23,1,0,1782345522.3694763
0,35,MVI_20051,14,4,0,1782345522.409636
0,36,MVI_20052,48,7,0,1782345522.449823
0,37,MVI_20034,5,4,2,1782345522.4896202
0,38,MVI_20035,32,10,0,1782345522.5296369
0,39,MVI_20052,24,13,0,1782345522.5695987
0,40,MVI_20035,2,12,0,1782345522.6096017
0,41,MVI_20035,49,3,1,1782345522.6496296
0,42,MVI_20061,11,0,0,1782345522.6897867
0,43,MVI_20035,4,2,0,1782345522.7297242
0,44,MVI_20032,42,3,0,1782345522.7697823
